コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,企業名,業界
3048,2022/08,456466000000,169133000000,130097000000,98753000000,65006000000,43945000000,767.54,28.8,ビックカメラ,小売業
3050,2022/02,449151000000,240735000000,237586000000,178254000000,-,73767000000,1624.22,53.6,DCMHD,小売業
3053,2022/12,6221000000,1296000000,1259000000,-1940000000,543000000,583000000,31.73,20.2,ペッパーフードサービス,小売業
3054,2022/12,7125173000,2775768000,2711134000,1634111000,570000000,477200000,280.02,38.1,ハイパー,卸売業
3055,2022/03,136883000000,55543000000,50461000000,38965000000,-,16000000,2460.61,40.6,ほくやく・竹山HD,卸売業
3057,2023/01,6737000000,2766000000,2545499000,948967000,50000000,554943000,428.9,41.1,ゼットン,小売業
3058,2022/03,13450162000,3079908000,2964677000,-59965000,-,2165308000,422.74,22.9,三洋堂HD,小売業
3059,2022/03,16735415000,7419792000,7381010000,5932760000,-,5102176000,1523.32,44.3,ヒラキ,小売業
3063,2023/02,9324000000,1160000000,1196232000,-4049568000,-,5273498000,98.35,12.2,ジェイグループHD,小売業
3064,2022/12,111737000000,72621000000,71789000000,69218000000,61000000,4922000000,145.11,64.5,MonotaRO,小売業
3065,2022/02,6774577000,2428991000,2428991000,60693000,-,1884745000,793.11,35.9,ライフフーズ,小売業
3066,2022/03,5732298000,1265562000,1243616000,162024000,-,2323914000,163.03,22.0,JBイレブン,小売業
3067,2022/09,4417606000,1426028000,1360855000,454756000,200000000,1682148000,154.23,31.0,東京一番フーズ,小売業
3068,2022/03,16977175000,5249030000,4427478000,3253978000,-,5955053000,658.89,24.6,WDI,小売業
3069,2022/03,48452198000,8282755000,7500989000,-4524298000,11629781000,8660351000,151.47,14.4,JFLAHD,小売業
3070,2023/01,647000000,116000000,86259000,-2442284000,-,214502000,11.12,16.4,アマガサ,卸売業
3071,2023/01,6360000000,2998000000,2966402000,1306018000,400000000,181686000,108.71,46.6,ストリーム,小売業
3073,2022/02,35736000000,5240000000,4522000000,-3238000000,6293000000,16098000000,249.78,12.7,DDHD,小売業
3075,2022/05,10977000000,7883470000,7866459000,7993973000,120000000,-,574.26,71.7,銚子丸,小売業
3076,2022/06,75418000000,61337000000,59270000000,49927000000,-,-,1293.36,81.2,あいHD,卸売業
3077,2022/03,2655907000,388921000,369961000,-204596000,1500000000,-,68.6,14.6,ホリイフードサービス,小売業
3079,2022/03,22210742000,8587718000,8575682000,8365426000,-,-,828.27,38.6,ディーブイエックス,卸売業
3080,2022/02,9742431000,5251371000,5251371000,4671528000,196000000,139437000,409.89,53.9,ジェーソン,小売業
3082,2022/06,7381776000,973996000,852764000,145919000,-,4453155000,84.69,11.6,きちりHD,小売業
3083,2022/02,2045042000,1153843000,1118932000,169673000,-,35658000,388.15,54.7,シーズメン,小売業
3085,2022/12,35465000000,24939000000,24442000000,21256000000,-,-,768.88,69.0,アークランドサービスHD,小売業
3086,2022/02,1192907000000,362120000000,350368000000,134705000000,108152000000,209562000000,1337.28,29.4,J.フロントリテイリング,小売業
3087,2022/02,118227000000,94109000000,93856000000,78792000000,470000000,215000000,2122.63,79.4,ドトール・日レスHD,小売業
3088,2022/03,652524000000,460130000000,453602000000,232052000000,884000000,18400000000,3255.22,70.5,マツキヨココカラ&カンパニー,小売業
3089,2022/11,2771195000,1687713000,1693847000,2129422000,100000000,-,955.79,60.9,テクノアルファ,卸売業
3091,2022/12,21477800000,17875224000,17768729000,13944151000,76696000,120000000,1197.49,82.8,ブロンコビリー,小売業
3092,2022/03,127276000000,55099000000,55100000000,97067000000,20200000000,-,183.23,43.2,ZOZO,小売業
3093,2022/02,11809650000,4895963000,4715795000,4148547000,1792403000,1811355000,212.33,40.0,トレジャー・ファクトリー,小売業
3094,2022/02,16363273000,2344470000,2336284000,1679389000,2113055000,3190208000,368.88,14.3,スーパーバリュー,小売業
3096,2022/03,21377718000,8852606000,8460119000,8461348000,1247855000,2002008000,940.39,41.4,オーシャンシステム,小売業
3097,2022/06,46196000000,22960000000,22694000000,17157000000,-,2600000000,623.46,49.0,物語コーポレーション,小売業
3099,2022/03,1168574000000,517660000000,491168000000,134558000000,13145000000,82000000000,1341.4,43.8,三越伊勢丹HD,小売業
3101,2022/03,517774000000,197149000000,158402000000,74700000000,40592000000,70681000000,2192.17,37.6,東洋紡,繊維製品
3103,2022/03,191399000000,43071000000,39942000000,27597000000,2065000000,177000000,716.24,21.6,ユニチカ,繊維製品
3104,2022/03,58531000000,40497000000,38015000000,29676000000,1306000000,60000000,3533.81,69.2,富士紡HD,繊維製品
3105,2022/12,616273000000,278498000000,230129000000,196754000000,59344000000,10854000000,1679.52,42.8,日清紡HD,電気機器
3106,2022/03,167285000000,97415000000,94461000000,59293000000,8864000000,3499000000,4853.07,57.4,倉敷紡績,繊維製品
3107,2022/03,356203000000,136173000000,133564000000,106053000000,12589000000,14895000000,1422.19,38.0,ダイワボウHD,卸売業
3109,2022/03,81596000000,31808000000,19923000000,7957000000,7863000000,11623000000,2745.64,39.0,シキボウ,繊維製品
3110,2022/03,187289000000,110638000000,103129000000,66619000000,14354000000,14891000000,2727.54,56.5,日東紡績,ガラス・土石製品
3111,2022/03,22384000000,3799000000,5092000000,-832000000,8575000000,735000000,576.01,17.0,オーミケンシ,繊維製品
3113,2022/03,7361417000,4155252000,4114333000,-3297469000,753000000,549470000,63.5,54.8,Oakキャピタル,証券、商品先物取引業
3116,2022/03,964740000000,423835000000,386162000000,345680000000,28381000000,111358000000,2066.52,40.0,トヨタ紡織,輸送用機器
3121,2022/03,10847622000,4127292000,4123946000,122221000,-,5723418000,139.96,38.0,マーチャント・バンカーズ,サービス業
3123,2022/03,42895753000,17484296000,14486242000,12504327000,880000000,14770867000,1159.89,35.7,サイボー,繊維製品
3131,2022/03,20888336000,6390144000,6383361000,3675067000,9546420000,1025354000,3137.27,30.6,シンデン・ハイテックス,卸売業
3132,2022/03,362584000000,179764000000,158258000000,99611000000,44119000000,13835000000,2734.53,46.9,マクニカHD,卸売業
3133,2022/03,2124365000,449783000,388183000,-2410043000,79750000,412499000,13.8,18.3,海帆,小売業
3134,2022/04,10518193000,8252916000,7981813000,7198228000,500000000,-,513.06,77.6,Hamee,小売業
3135,2022/06,3531382000,1296091000,1037694000,406710000,800000000,147472000,197.95,29.7,マーケットエンタープライズ,サービス業
3136,2022/03,2862278000,497682000,489330000,-129084000,450000000,641163000,378.71,17.4,エコノス,小売業
3137,2022/03,5462628000,643173000,630995000,208410000,-,4256510000,99.25,11.6,ファンデリー,小売業
3138,2022/12,5652411000,2155562000,2069393000,1711525000,550000000,-,656.04,36.6,富士山マガジンサービス,小売業
3139,2022/11,73456705000,22481351000,20922925000,18651916000,13949482000,8960000000,2265.51,30.5,ラクト・ジャパン,卸売業
3140,2022/06,8889000000,5184000000,5151000000,1906000000,561000000,737000000,361.37,58.3,BRUNO,卸売業
3141,2022/02,463048000000,207886000000,201597000000,146032000000,8991000000,17560000000,966.65,43.5,ウエルシアHD,小売業
3143,2022/03,10521483000,3765188000,3368209000,2712605000,-,1376909000,1168.75,35.0,オーウイル,卸売業
3148,2022/05,176910000000,106323000000,106391000000,108850000000,-,-,1681.83,60.1,クリエイトSDHD,小売業
3150,2022/03,13617441000,7968010000,7947879000,7409768000,-,1163080000,348.55,58.3,グリムス,卸売業
3151,2022/03,313033000000,100041000000,75631000000,64402000000,990000000,7760000000,1858.84,31.6,バイタルケーエスケーHD,卸売業
3153,2022/03,50934000000,23046000000,22946000000,20734000000,990000000,230000000,1070.89,44.8,八洲電機,卸売業
3154,2022/06,92953841000,17307764000,15625996000,11610668000,12328047000,5459541000,789.44,18.6,メディアスHD,卸売業
3156,2022/03,241958000000,81657000000,74773000000,33747000000,75305000000,7805000000,2580.29,32.1,レスターHD,卸売業
3157,2022/03,75832000000,18165000000,17258000000,16354000000,482000000,2083000000,1368.62,24.0,ジューテックHD,卸売業
3159,2023/01,128770000000,45702000000,44560000000,27075000000,21710000000,13701000000,485.13,34.9,丸善CHIHD,小売業
3160,2022/05,17918058000,4247610000,4189962000,2167322000,1839500000,1950006000,320.56,23.7,大光,卸売業
3161,2022/04,8651975000,6273041000,6178219000,4446509000,-,319352000,1111.97,72.5,アゼアス,卸売業
3166,2022/03,62834000000,19814000000,19392000000,18786000000,3223000000,1663000000,1537.42,31.5,OCHIHD,卸売業
3167,2022/03,184473000000,78946000000,73615000000,36395000000,14411000000,29736000000,590.2,41.9,TOKAIHD,卸売業
3168,2022/08,25725203000,9218635000,8928528000,7286002000,9909040000,2418412000,648.06,35.8,黒谷,卸売業
3169,2023/01,4523000000,3121000000,3121653000,2390588000,-,-,439.82,69.0,ミサワ,小売業
3172,2022/07,8274000000,5791000000,5766000000,5083000000,-,619000000,1362.4,70.0,ティーライフ,小売業
3173,2022/03,18656000000,6677000000,6490000000,5810000000,1924000000,2161000000,968.33,35.7,Cominix,卸売業
3174,2022/08,9258813000,2214842000,2160363000,1510636000,-,2930551000,846.99,23.2,ハピネス・アンド・ディ,小売業
3175,2022/03,9684341000,543391000,544391000,320990000,2188000000,4770818000,45.32,4.7,エー・ピーHD,小売業
3176,2022/09,62859507000,39212665000,36769575000,35502368000,5823164000,177087000,1349.41,61.7,三洋貿易,卸売業
3177,2022/02,4781995000,2129616000,2077613000,1536663000,-,1048921000,2266.52,43.8,ありがとうサービス,小売業
3178,2022/03,22900521000,6487505000,6404299000,-1435313000,10000000000,2241115000,336.09,28.3,チムニー,小売業
3179,2022/03,14407046000,5469597000,5465209000,7573770000,950000000,2777046000,260.52,37.9,シュッピン,小売業
3180,2022/04,10548000000,5468778000,5267100000,3822488000,15000000,810852000,835.19,50.0,ビューティガレージ,卸売業
3181,2022/02,3447461000,2120486000,2120486000,1505311000,-,596277000,593.04,61.5,買取王国,小売業
3182,2022/03,52634000000,23872000000,21954000000,14448000000,1010000000,101000000,605.58,42.0,オイシックス・ラ・大地,サービス業
3183,2022/03,41564997000,21721905000,21674479000,19688252000,-,-,764.32,52.3,ウイン・パートナーズ,卸売業
3184,2022/03,15253856000,7709432000,7413613000,5103921000,2105980000,195120000,3549.22,48.9,ICDAHD,小売業
3185,2022/03,3244027000,271730000,271730000,-1669920000,-,-,19.71,8.4,夢展望,小売業
3186,2022/11,161259000000,56301000000,56456000000,36544000000,20923000000,48015000000,707.91,34.9,ネクステージ,小売業
3187,2022/09,7644022000,2800681000,2762046000,1431008000,1281820000,617994000,149.61,36.3,サンワカンパニー,小売業
3189,2022/08,2569571000,103445000,99518000,-894492000,1591193000,300000000,21.58,3.9,ANAP,小売業
3190,2022/03,15464200000,6917762000,6777358000,4474448000,3050000000,826676000,980.48,44.7,ホットマン,小売業
